p,d,q,P,D,Q,s,aic,bic,converged,fit_seconds,error
0,1,3,1,1,2,24,-99580.95322567261,-99452.44243031454,True,1156.8091521000024,
0,1,3,2,1,0,24,-97947.34350991539,-97825.97220318831,True,919.1339509999962,
0,1,3,2,1,1,24,-98286.1792798888,-98157.66848453073,True,1663.1876615,
0,1,3,2,1,2,24,-98961.14968136397,-98825.4993973749,False,1375.8173882999981,
1,1,0,0,1,0,24,-93240.48776928186,-93147.6744170788,False,76.39815900000394,
1,1,0,0,1,1,24,-96984.98147741146,-96885.02863657741,True,397.7222774000038,
1,1,0,0,1,2,24,-97853.81735759677,-97746.72502813171,True,935.6495250000007,
1,1,0,1,1,0,24,-95019.16315844098,-94919.21031760692,True,266.056073199994,
1,1,0,1,1,1,24,-96121.38733054546,-96014.2950010804,True,245.03957280000031,
1,1,0,1,1,2,24,-97725.98560888099,-97611.75379078492,False,1011.1873388999957,
1,1,0,2,1,0,24,-96041.13183651306,-95934.039507048,True,715.1440791999994,
1,1,0,2,1,1,24,-96346.60829763376,-96232.37647953769,False,1264.1386560999963,
1,1,0,2,1,2,24,-97094.44906927962,-96973.07776255255,True,1418.6685418000052,
1,1,1,0,1,0,24,-94855.3770553124,-94755.42421447835,False,107.21187700000155,
1,1,1,0,1,1,24,-98762.02248159693,-98654.93015213187,False,752.4668374999965,
1,1,1,0,1,2,24,-99452.89510736184,-99338.66328926577,False,1444.1877609000003,
1,1,1,1,1,0,24,-96810.24888899998,-96703.15655953492,True,294.09969889999775,
1,1,1,1,1,1,24,-97958.4719069943,-97844.24008889822,True,355.8439722000039,
1,1,1,1,1,2,24,-99417.83676445625,-99296.46545772918,True,1152.2465966999953,
1,1,1,2,1,0,24,-97789.85487351743,-97675.62305542135,False,984.7900682000036,
1,1,1,2,1,1,24,-98165.09365249396,-98043.72234576689,True,821.9552566999992,
1,1,1,2,1,2,24,-98830.21622087924,-98701.70542552117,False,814.9370000999988,
1,1,2,0,1,0,24,-94986.6150817124,-94879.52275224734,False,47.9038248999932,
1,1,2,0,1,1,24,-98875.8865102088,-98761.65469211273,False,230.69094999999652,
1,1,2,0,1,2,24,-99580.94992195324,-99459.57861522617,True,391.91975549999916,
1,1,2,1,1,0,24,-96915.73632115456,-96801.50450305849,False,204.43886930000008,
1,1,2,1,1,1,24,-98069.44287780098,-97948.0715710739,True,159.87172290000308,
1,1,2,1,1,2,24,-99535.30950186196,-99406.79870650389,False,642.5593900999957,
1,1,2,2,1,0,24,-97903.41425788583,-97782.04295115876,False,582.6731107000014,
1,1,2,2,1,1,24,-98257.34494597354,-98128.83415061547,False,909.5009127000012,
1,1,2,2,1,2,24,-98945.89663178456,-98810.24634779549,True,490.740633399997,
1,1,3,0,1,0,24,-88879.01520512179,-88764.78338702572,True,43.823493900003086,
1,1,3,0,1,1,24,-92526.25183859863,-92404.88053187156,False,246.24149380000017,
1,1,3,0,1,2,24,-93521.2991046925,-93392.78830933443,True,670.1048295,
1,1,3,1,1,0,24,-90500.40243218272,-90379.03112545564,True,102.36923849999584,
1,1,3,1,1,1,24,-91563.86542167561,-91435.35462631754,False,282.74703460000455,
1,1,3,1,1,2,24,-93364.18871243906,-93228.53842844999,False,1485.005883400001,
1,1,3,2,1,0,24,-91536.00022837876,-91407.48943302069,True,361.8435371000014,
1,1,3,2,1,1,24,-91818.9805697128,-91683.33028572373,False,983.0434538000045,
1,1,3,2,1,2,24,-92656.49627827865,-92513.70650565856,False,694.5156205000021,
2,1,0,0,1,0,24,-94539.15518023555,-94439.2023394015,False,47.84675260000222,
2,1,0,0,1,1,24,-98366.38590424994,-98259.29357478488,True,126.23973359999945,
2,1,0,0,1,2,24,-99190.39137955537,-99076.1595614593,False,615.1607390999998,
2,1,0,1,1,0,24,-96398.13947852733,-96291.04714906227,False,290.6768876999995,
