p,d,q,P,D,Q,s,aic,bic,converged,fit_seconds,error
2,0,2,0,0,1,24,-92314.32602409934,-92192.9091580375,False,30.953307300000233,
2,0,2,0,0,2,24,-92414.78339343693,-92286.22435878322,False,121.16515729999992,
2,0,2,1,0,0,24,-92346.17374403111,-92224.75687796927,False,27.112022199999046,
2,0,2,1,0,1,24,-92353.34323679662,-92224.78420214291,False,32.98113139999987,
2,0,2,1,0,2,24,-92441.84236462438,-92306.1411613788,False,126.3489464000013,
2,0,2,2,0,0,24,-92489.79787358954,-92361.23883893584,False,105.90785559999858,
2,0,2,2,0,1,24,-92478.91158030616,-92343.21037706058,False,111.94803769999999,
2,0,2,2,0,2,24,-92543.85586951431,-92401.01249767686,True,111.1331611000005,
2,0,3,0,0,0,24,-92167.58904152049,-92046.17217545865,False,5.383385199998884,
2,0,3,0,0,1,24,-92312.41517333605,-92183.85613868234,False,31.459884500000044,
2,0,3,0,0,2,24,-92413.67562380695,-92277.97442056137,False,124.36749679999957,
2,0,3,1,0,0,24,-92344.39023040363,-92215.83119574992,False,29.9502494999997,
2,0,3,1,0,1,24,-92351.59584468734,-92215.89464144176,False,34.1860472999997,
2,0,3,1,0,2,24,-92440.68357333407,-92297.84020149661,False,165.04558019999968,
2,0,3,2,0,0,24,-92489.05765790453,-92353.35645465895,False,171.48399210000025,
2,0,3,2,0,1,24,-92478.19407085623,-92335.35069901877,False,183.2940991000014,
2,0,3,2,0,2,24,-92542.83312782721,-92392.84758739788,True,179.96554169999945,
3,0,0,0,0,0,24,-92178.4764030849,-92071.34387420681,False,8.483870399999432,
3,0,0,0,0,1,24,-92319.21894387007,-92204.9442464001,False,39.359611899999436,
3,0,0,0,0,2,24,-92418.50149766766,-92297.08463160582,False,151.67476460000034,
3,0,0,1,0,0,24,-92350.52531411604,-92236.25061664607,False,41.62405960000069,
3,0,0,1,0,1,24,-92357.91792667152,-92236.50106060968,False,49.741942099999505,
3,0,0,1,0,2,24,-92445.56552714886,-92317.00649249516,False,173.47355249999964,
3,0,0,2,0,0,24,-92492.60513590183,-92371.18826983999,False,185.34229249999953,
3,0,0,2,0,1,24,-92481.50617233923,-92352.94713768552,False,188.2616736,
3,0,0,2,0,2,24,-92546.83142741644,-92411.13022417086,True,186.90552369999932,
3,0,1,0,0,0,24,-92174.72036414419,-92060.44566667422,False,8.281019000000015,
3,0,1,0,0,1,24,-92317.15265786077,-92195.73579179893,False,41.59171259999857,
